id,vendor,family,part_numbers,aliases,standards,bands,sdr_tier,sdr_capabilities,fw_arch,fw_openness,fw_re_tooling,key_projects,common_hardware,status,references,notes
broadcom-bcm4310,Broadcom,BCM43xx SoftMAC (b43),BCM4310,BCM4310; BCM4310 USB,802.11b; 802.11g,2.4GHz,1,monitor; injection,"D11 ucode (SoftMAC, no app CPU)",closed,b43-tools,b43 driver,USB 11g dongles; Dell laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,"USB 802.11g part with the low-power (LP) PHY. Native monitor+injection via b43/mac80211; proprietary ucode, no CSI/IQ path."
broadcom-bcm4311,Broadcom,BCM43xx SoftMAC (AirForce),BCM4311,BCM4311; BCM4311/1,802.11b/g,2.4GHz,1,monitor; injection; open-firmware,"D11 MAC microcode (core rev 5-14, no on-chip MAC CPU)",open,b43-tools (b43-asm/b43-dasm); OpenFWWF; b43-fwcutter,OpenFWWF; b43-tools,Mini-PCIe/PCI WLAN cards (Dell/HP laptops ~2006-2009),verified,https://github.com/fullstory/openfwwf; https://github.com/mbuesch/b43-tools; http://bcm-v4.sipsolutions.net/802.11/Microcode,"Classic SoftMAC BCM43xx where the D11 ucode IS the entire MAC (no ARM co-processor). Because the driver loads the ucode as a plain file, OpenFWWF can replace it wholesale with fully open GPLv2 microcode built by b43-asm, making the card a programmable-MAC testbed. This is the reference platform for learning the D11 ISA from complete commented source rather than disassembly. firmware.openness=open reflects the OpenFWWF replacement; the PHY itself remains closed."
broadcom-bcm4312,Broadcom,BCM43xx SoftMAC (b43),BCM4312,BCM4312; BCM4312 LP-PHY,802.11b; 802.11g,2.4GHz,1,monitor; injection,"D11 ucode (SoftMAC, no app CPU)",closed,b43-tools,b43 driver,Dell/HP/Acer laptops 2007-2010; mini-PCIe 11g,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,Extremely common late-2000s laptop 11g part (G-PHY and LP-PHY variants). Tier-1 native monitor/injection under b43. Closed ucode.
broadcom-bcm4313,Broadcom,BCM43xx SoftMAC (brcmsmac/b43),BCM4313,BCM4313; BCM43130,802.11n,2.4GHz,1,monitor; injection,D11 ucode + LCN-PHY (SoftMAC),closed,b43-tools,brcmsmac driver,Dell/Lenovo/HP laptops; single-stream 11n mini-PCIe,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/brcm80211.html,"Single-stream 11n with the LCN-PHY. Runs under the open-source Broadcom SoftMAC driver brcmsmac (and b43), so mac80211 monitor+injection are native — honest tier 1. No CSI toolchain."
broadcom-bcm43142,Broadcom,BCM43xx FullMAC (wl/brcmfmac),BCM43142,BCM43142,802.11n,2.4GHz,0,,D11 + LCN40-PHY (FullMAC),closed,nexmon; ghidra,,budget laptops 2013-2016 (Lenovo/HP/Acer),theoretical,https://wireless.docs.kernel.org/en/latest/en/users/drivers/brcmfmac.html,"1x1 11n LCN40-PHY combo notorious for poor Linux support (proprietary wl / partial brcmfmac). No mac80211 monitor, no Nexmon port → tier 0."
broadcom-bcm4318,Broadcom,BCM43xx (SoftMAC / b43),BCM4318,AirForce One 54g,802.11b; 802.11g,2.4GHz,5,monitor; injection; open-firmware,"Broadcom D11 microcode, host-driven MAC, no on-die ARM",open,b43-tools; OpenFWWF,OpenFWWF,Linksys WPC54G v3; Belkin F5D7010; many 2006-era laptops / mini-PCI,verified,http://netweb.ing.unibs.it/~openfwwf/; https://github.com/fullstory/openfwwf,Primary chip OpenFWWF was tested on (4306 & 4318). Open MAC firmware; used to prototype custom MAC protocols. b43 gives native monitor+injection.
broadcom-bcm4319,Broadcom,BCM43xx FullMAC (brcmfmac),BCM4319,BCM4319,802.11n,2.4GHz,0,,D11 + Cortex-M3 (FullMAC),closed,nexmon; ghidra,,e-readers; early Android tablets; Motorola devices,theoretical,https://wireless.docs.kernel.org/en/latest/en/users/drivers/brcmfmac.html,"FullMAC 1x1 11n combo driven by brcmfmac/wl — no host mac80211, so no native monitor. No Nexmon port exists, leaving it a black-box (tier 0). Architecturally patchable if a symbol map is produced."
broadcom-bcm4321,Broadcom,BCM43xx (SoftMAC / b43),BCM4321,,802.11a; 802.11b; 802.11g; 802.11n (draft),2.4GHz; 5GHz,1,monitor; injection,"Broadcom D11 microcode (proprietary), host-driven MAC",closed,b43-tools,b43 driver,Apple AirPort Extreme (draft-n); Dell Wireless 1500; various draft-n cards,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html; https://wiki.debian.org/bcm43xx,"Draft-11n MIMO SoftMAC part. Runs under b43 with proprietary ucode (not covered by OpenFWWF), so monitor/injection only."
broadcom-bcm43217,Broadcom,BCM43xx SoftMAC (b43),BCM43217,BCM43217,802.11n,2.4GHz,1,monitor; injection,D11 ucode + N-PHY (SoftMAC),closed,b43-tools,b43 driver,2x2 11n laptop modules,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,"2x2 N-PHY 11n part, b43-supported since kernel 3.17. Tier-1 native; closed ucode."
broadcom-bcm4322,Broadcom,BCM43xx SoftMAC (b43),BCM4322,BCM4322,802.11n,2.4GHz; 5GHz,1,monitor; injection,D11 ucode + N-PHY (SoftMAC),closed,b43-tools,b43 driver,2x2 11n mini-PCIe; MacBook (some),verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,2x2 802.11n N-PHY part supported by b43 since kernel 3.18. Native tier-1; proprietary N-PHY ucode (OpenFWWF never covered N-PHY).
broadcom-bcm43222,Broadcom,BCM43xx SoftMAC (b43),BCM43222,BCM43222,802.11n,2.4GHz; 5GHz,1,monitor; injection,D11 ucode + N-PHY (SoftMAC),closed,b43-tools,b43 driver,2x2 dual-band 11n mini-PCIe,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,"2x2 dual-band N-PHY 11n, b43-supported since kernel 3.8. Sibling of the catalogued 43224/43225; tier-1 native, closed ucode."
broadcom-bcm43224,Broadcom,BCM43xx (SoftMAC / b43),BCM43224,,802.11a; 802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,1,monitor; injection,"Broadcom D11 microcode (proprietary), host-driven MAC",closed,b43-tools,b43 driver,Dell Wireless 1520; Apple BCM943224 mini-PCIe; 2010-era laptops,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,2x2 11n dual-band SoftMAC. Native mac80211 monitor+injection; proprietary ucode (OpenFWWF never ported).
broadcom-bcm43225,Broadcom,BCM43xx (SoftMAC / b43),BCM43225,,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,"Broadcom D11 microcode (proprietary), host-driven MAC",closed,b43-tools,b43 driver,Dell Wireless 1502; many low-cost 2.4GHz 11n cards,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,2x2 2.4GHz 11n SoftMAC. b43 monitor+injection; proprietary ucode only.
broadcom-bcm43227,Broadcom,BCM43xx SoftMAC (brcmsmac/b43),BCM43227,BCM43227,802.11n,2.4GHz,1,monitor; injection,D11 ucode + N-PHY (SoftMAC),closed,b43-tools,brcmsmac driver,1x1/2x2 11n laptop modules,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html; https://wireless.docs.kernel.org/en/latest/en/users/drivers/brcm80211.html,N-PHY 11n part supported by both b43 (since 3.17) and the open brcmsmac SoftMAC driver → native monitor/injection. Closed ucode.
broadcom-bcm43228,Broadcom,BCM43xx SoftMAC (brcmsmac/b43),BCM43228,BCM43228,802.11n,2.4GHz; 5GHz,1,monitor; injection,D11 ucode + N-PHY (SoftMAC),closed,b43-tools,brcmsmac driver,2x2 dual-band 11n mini-PCIe,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,"Dual-band 2x2 variant of the 43227, supported by b43 (since 3.17) and brcmsmac. Tier-1 native monitor/injection; closed ucode."
broadcom-bcm4329,Broadcom,BCM43xx (FullMAC / Nexmon),BCM4329,,802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,1,monitor,Broadcom D11 PHY microcode + ARM Cortex-M3,patchable,nexmon; ghidra,nexmon,Apple iPhone 4; iPad 1; Amazon Kindle; Samsung Galaxy Tab,reported,https://github.com/seemoo-lab/nexmon,Early combo FullMAC part. Historical Nexmon/RE interest; Cortex-M3. Limited modern tooling.
broadcom-bcm4330,Broadcom,BCM43xx (FullMAC / Nexmon),BCM4330,,802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,1,monitor,Broadcom D11 PHY microcode + ARM Cortex-M3,patchable,nexmon; ghidra,nexmon,Samsung Galaxy S3; Asus Nexus 7 (2012); BeagleBone Black wireless variants,reported,https://github.com/seemoo-lab/nexmon,1x1 dual-band 11n combo. Experimental Nexmon support; Cortex-M3.
broadcom-bcm4331,Broadcom,BCM43xx SoftMAC (b43),BCM4331,BCM4331,802.11n,2.4GHz; 5GHz,1,monitor; injection,D11 ucode + HT-PHY (SoftMAC),closed,b43-tools,b43 driver,MacBook Pro 2011-2013; iMac 2011-2013,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,"3x3 802.11n HT-PHY, famous as the Apple MacBook Pro 2011-2013 radio. b43-supported since kernel 3.2-rc3 → native monitor+injection (tier 1). Closed HT-PHY ucode."
broadcom-bcm4333,Broadcom,BCM43xx FullMAC (bcmdhd),BCM4333,BCM4333,802.11n,2.4GHz,0,,D11 + Cortex-M3 (FullMAC),closed,nexmon; ghidra,,iPhone 4S; iPad 2/3; Galaxy S III (some SKUs),theoretical,https://github.com/seemoo-lab/nexmon,"Single-stream 11n combo, the Wi-Fi in the iPhone 4S and iPad 2/3. FullMAC/bcmdhd, no monitor, no Nexmon port → tier 0 black-box. Predates the reachable Nexmon-era symbol maps."
broadcom-bcm4334,Broadcom,BCM43xx (FullMAC / Nexmon),BCM4334,,802.11b; 802.11g; 802.11n,2.4GHz; 5GHz,1,monitor,Broadcom D11 PHY microcode + ARM Cortex-M3,patchable,nexmon; ghidra,nexmon,Samsung Galaxy S4 (GT-i9500); Apple iPhone 5c / 5s; Galaxy Note 3,reported,https://github.com/seemoo-lab/nexmon,1x1 11n low-power combo. Experimental Nexmon; Cortex-M3.
broadcom-bcm43340,Broadcom,BCM43xx FullMAC (brcmfmac),BCM43340; BCM43341; BCM43342,BCM43340; BCM43341; BCM43342,802.11n,2.4GHz; 5GHz,0,,D11 + Cortex-M3 (FullMAC),closed,nexmon; ghidra,,Android tablets ~2013-2015; SDIO combo modules,theoretical,https://wireless.docs.kernel.org/en/latest/en/users/drivers/brcmfmac.html,"4334-family combo parts (43340/43341/43342) in older tablets over SDIO. FullMAC, no mac80211 monitor, no Nexmon port → tier 0. Firmware family is close to the catalogued BCM4334."
broadcom-bcm4335,Broadcom,BCM43xx (FullMAC / Nexmon),BCM4335; BCM4335C0,,802.11a; 802.11n; 802.11ac,2.4GHz; 5GHz,1,monitor; injection,Broadcom D11 PHY microcode + ARM Cortex-R4,patchable,nexmon; ghidra,nexmon,Samsung Galaxy S4 LTE-A; HTC One (M7); Nexus 7 (2013); LG G2,reported,https://github.com/seemoo-lab/nexmon; https://www.maki.tu-darmstadt.de/media/sfb_maki/forschung_8/awards/Nexmon_2017.pdf,First-gen 1x1 11ac. Early Nexmon monitor/injection targets; Cortex-R4. Less maintained than 4339.
broadcom-bcm4339,Broadcom,BCM4339,BCM4339,BCM4339,802.11a/b/g/n/ac,2.4GHz; 5GHz,4,monitor; injection; csi; arbitrary-waveform; covert-channel,ARM Cortex-R4-class + Broadcom D11 ucode,patchable,nexmon; b43-tools; ghidra; ida; radare2,mobisys2018_nexmon_software_defined_radio; nexmon; wisec2017_nexmon_jammer_demo_app,Nexus 5 (LG),reported,https://github.com/seemoo-lab/mobisys2018_nexmon_software_defined_radio; https://doi.org/10.1145/3210240.3210333; https://github.com/seemoo-lab/nexmon; https://doi.org/10.1145/3098243.3098253; https://github.com/seemoo-lab/wisec2017_nexmon_jammer_demo_app,"Tier-4 evidence chip, re-anchored by the Tier-4 audit (docs/verification-tier4.md). The reproducible arbitrary-waveform proof is the MobiSys 2018 'Shadow Wi-Fi' nexmon SDR patch (FULL C source), not the WiSec 2017 jammer previously cited: three ioctls -- 426 NEX_WRITE_TEMPLATE_RAM, 427 START, 428 STOP -- write int16 I/Q into the D11 Template RAM and key the TX chain, emitting an arbitrary baseband buffer (not an 802.11 frame) in 2.4/5 GHz. TX-only; waveform length bounded by Template-RAM depth; band-limited, low-dynamic-range front-end. Monitor/injection/CSI are verified; arbitrary-TX stays 'reported' because the demonstrated target is a rooted Nexus 5 on stock fw 6.0.1 M4B30Z (EoL, hard to source) -- the same primitive on the Raspberry Pi bcm43455c0 is the practical path. The WiSec 2017 reactive jammer is an APPLICATION of this primitive but ships binary-only firmware deliberately restricted to NEXMON/JAMMER MACs, so it is not the reproducible route. Removed the prior 'raw-iq' flag: nexmon exposes frequency-domain CSI, not time-domain IQ receive."
broadcom-bcm43430,Broadcom,BCM43xx (FullMAC / Nexmon),BCM43430; BCM43430a1,BCM43430a1; BCM43438,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,Broadcom D11 PHY microcode + ARM Cortex-M3 (ROM at ~0x800000),patchable,nexmon; ghidra; ida,nexmon,Raspberry Pi 3B; Raspberry Pi Zero W; Raspberry Pi Compute Module 3,verified,https://github.com/seemoo-lab/nexmon/blob/master/README.md,"Single-stream 2.4GHz-only 11n (Pi 3B / Zero W). Nexmon monitor+injection verified (fw 7_45_41_46). Cortex-M3, ROM at upper address. Not in the official nexmon_csi list."
broadcom-bcm43436,Broadcom,BCM43xx (FullMAC / Nexmon),BCM43436,BCM43436b0; BCM43436b03,802.11b; 802.11g; 802.11n,2.4GHz,1,monitor; injection,Broadcom D11 PHY microcode + ARM Cortex-M3,patchable,nexmon; ghidra,nexmon,Raspberry Pi Zero 2 W,verified,https://github.com/seemoo-lab/nexmon/blob/master/README.md,"The silicon in the Pi Zero 2 W. Nexmon monitor+injection verified (fw 9_88_4_65). 2.4GHz single-stream 11n, Cortex-M3."
broadcom-bcm43438,Broadcom,BCM434xx FullMAC,BCM43438; CYW43438,BCM43438; CYW43438; Raspberry Pi Zero W Wi-Fi; Raspberry Pi 3 Wi-Fi,802.11n,2.4GHz,1,monitor; injection; open-firmware,ARM Cortex-M3 (host firmware) + D11 MAC microcode (PSM),patchable,nexmon; b43-tools (b43-dasm/b43-asm); d11-emu; fwcutter,nexmon; b43-tools PR#4 (bcm43438 ucode prep),Raspberry Pi Zero W; Raspberry Pi 3 Model B,verified,https://github.com/mbuesch/b43-tools/pull/4; https://github.com/seemoo-lab/nexmon; http://bcm-v4.sipsolutions.net/802.11/Microcode,Single-stream 802.11n FullMAC SoC in the Pi Zero W and early Pi 3. Classic target for D11 ucode disassembly: its ucode is stored 7-byte-packed inside the ARM RAM firmware and unpacked by the ARM before being loaded into the D11 core; b43-tools PR#4 reproduces the packing so the ucode can be round-tripped through b43-dasm/b43-asm. Nexmon provides monitor mode and frame injection; CSI export is not officially supported on this part (reported/experimental only).
broadcom-bcm43451,Broadcom,BCM43xx FullMAC (Nexmon-class),BCM43451,BCM43451; BCM43451b1; BCM4345 (iPhone 6),802.11ac,2.4GHz; 5GHz,1,monitor; injection,D11 + Cortex-R4 (FullMAC),patchable,nexmon; ghidra; b43-tools,Nexmon,Apple iPhone 6 / 6 Plus,verified,https://github.com/seemoo-lab/nexmon,"1x1 11ac in the iPhone 6, and a genuinely Nexmon-supported target: the supported-devices table lists bcm43451b1 with firmware 7_63_43_0 for monitor+injection. Same 4345/Cortex-R4 lineage as the 43455c0, so patchable; CSI has not been ported to this stepping."
broadcom-bcm43455c0,Broadcom,BCM43455,BCM43455; CYW43455,BCM43455c0; CYW43455,802.11a/b/g/n/ac,2.4GHz; 5GHz,4,monitor; injection; csi; spectral-scan; arbitrary-waveform; covert-channel,ARM Cortex-R/M-class + Broadcom D11 ucode,patchable,nexmon; b43-tools; ghidra; ida,mobisys2018_nexmon_software_defined_radio; nexmon; nexmon_csi,Raspberry Pi 3B+; Raspberry Pi 4B; Raspberry Pi CM4; Raspberry Pi 5,reported,https://github.com/seemoo-lab/mobisys2018_nexmon_software_defined_radio; https://doi.org/10.1145/3210240.3210333; https://github.com/seemoo-lab/nexmon; https://github.com/seemoo-lab/nexmon_csi; https://doi.org/10.1145/3349623.3355477,"Corrected UPWARD Tier 3 -> 4 by the Tier-4 audit (docs/verification-tier4.md). The MobiSys 2018 'Shadow Wi-Fi' nexmon SDR patch explicitly supports the bcm43455c0 on a Raspberry Pi 3B+ (NOT the plain 3B) with FULL public source, giving the same arbitrary-IQ TX primitive as the Nexus-5 bcm4339 (ioctls 426/427/428 write int16 I/Q to Template RAM). This makes the Pi the most reproducible Tier-4 Wi-Fi target in the catalog -- current, cheap hardware. Monitor/injection/CSI(80MHz, int16)/spectral remain independently VERIFIED; the arbitrary-waveform rung is 'reported' (research patch, not a turnkey nexutil feature; firmware version string e.g. 7_45_189/206 must match the shipped blob). TX-only; band-limited, low dynamic range. status is set to 'reported' to track the tier-defining capability per the taxonomy convention while the lower rungs stay verified."
broadcom-bcm43455c0-nexmon-csi,Broadcom,BCM434xx (Nexmon),BCM4339; BCM43455c0; BCM4358; BCM4366c0; BCM4365,Nexmon CSI; Pi CSI,802.11a; 802.11g; 802.11n; 802.11ac,2.4GHz; 5GHz,2,monitor; injection; csi,Broadcom D11 ucode + ARM Cortex-R/M,patchable,nexmon; ghidra; ida,nexmon_csi; MobiSys'18 extractor,"Raspberry Pi 3B+/4B/5 (43455c0); Nexus 5 (4339); Nexus 6P (4358); Asus RT-AC86U (4366c0, 4x4)",verified,https://github.com/seemoo-lab/nexmon_csi; https://github.com/seemoo-lab/mobisys2018_nexmon_channel_state_information_extractor; https://github.com/seemoo-lab/nexmon; https://doi.org/10.1145/3349623.3355477,"Rationale: per-subcarrier CSI up to 80 MHz (up to 4x4 on RT-AC86U) via Nexmon firmware patch; delivered as UDP/pcap. REPRODUCIBLE TODAY (with pinning discipline) -- the strongest firmware-patched commodity CSI story in the catalog because the maintainers ported it forward. Supports Raspberry Pi 3B+/4B/5; a Makefile.rpi now targets recent Pi OS kernels (4.19/5.4/5.10) with no modified brcmfmac driver. Pitfalls: BCM43455c0 firmware is PINNED to microcode string 7_45_189 (must match your shipped brcmfmac43455-sdio.bin), and 64-bit Raspberry Pi OS (Bookworm) has toolchain/firmware-path friction -- many use the 32-bit image or the nexmonster/zeroby0 one-liner fork. 171 open issues, dominated by data-quality (amplitude scaling, dropped/null subcarriers), not build failures. See ../docs/verification-tier2-csi.md, ../chips/broadcom-cypress.md and ../projects/nexmon.md."
broadcom-bcm4350,Broadcom,BCM43xx FullMAC (bcmdhd),BCM4350,BCM4350,802.11ac,2.4GHz; 5GHz,0,,D11 + Cortex-R4 (FullMAC),closed,nexmon; ghidra,,Samsung Galaxy Note 4 (some SKUs); laptops,theoretical,https://github.com/seemoo-lab/nexmon,"2x2 11ac FullMAC. Same Cortex-R4 substrate as the Nexmon flagships (4358/4366) but no public port, so tier 0 today; a plausible future Nexmon target."
broadcom-bcm4352,Broadcom,BCM43xx FullMAC (wl),BCM4352,BCM4352,802.11ac,2.4GHz; 5GHz,0,,D11 + Cortex-R4 (FullMAC),closed,nexmon; ghidra,,AC1200 half-mini PCIe adapters; MacBook (some),theoretical,https://wireless.docs.kernel.org/en/latest/en/users/drivers/brcmfmac.html,"2x2 11ac often paired with the 4360 in adapters. Proprietary wl driver only (no mac80211 monitor), no Nexmon port → tier 0 black-box."
broadcom-bcm4356,Broadcom,BCM43xx (FullMAC / Nexmon),BCM4356,,802.11n; 802.11ac,2.4GHz; 5GHz,1,monitor; injection,Broadcom D11 PHY microcode + ARM Cortex-R4,patchable,nexmon; ghidra,nexmon,Motorola Nexus 6 (shamu); Dell Venue tablets; various 2x2 laptops,reported,https://github.com/seemoo-lab/nexmon,2x2 11ac in the Nexus 6 (distinct from 4358 in Nexus 6P). Nexmon injection reported; CSI porting plausible given Cortex-R4 sibling status to 4358.
